state,age,gender,married,education,urban_rural,race,citizen,personal_income
AZ,52,female,unmarried,no_degree,urban,asian,1,25000
AZ,59,male,married,college_degree,rural,white,1,321200
AZ,57,male,unmarried,no_degree,urban,white,1,33000
AZ,48,male,married,no_degree,urban,white,1,83000
AZ,54,female,married,college_degree,urban,white,1,21600
AZ,38,female,married,college_degree,urban,white,1,31000
AZ,38,male,married,no_degree,urban,white,1,18500
AZ,50,male,married,college_degree,urban,asian,1,401000
AZ,25,female,unmarried,no_degree,urban,NA,1,49000
AZ,36,female,unmarried,no_degree,urban,white,1,4000
AZ,34,female,unmarried,college_degree,urban,white,1,40000
AZ,44,female,married,no_degree,urban,asian,1,24000
AZ,31,female,unmarried,no_degree,urban,NA,1,8100.000000000001
AZ,49,male,married,no_degree,urban,white,1,115000
AZ,38,male,married,no_degree,urban,white,1,46000
AZ,57,male,married,college_degree,urban,white,1,160000
AZ,61,male,married,no_degree,urban,white,1,84000
AZ,43,male,unmarried,no_degree,urban,white,1,4700
AZ,52,female,married,no_degree,urban,white,1,12000
AZ,25,male,unmarried,no_degree,urban,white,1,30000
AZ,39,female,unmarried,no_degree,urban,white,1,45300
AZ,50,female,married,college_degree,urban,white,1,56040
AZ,51,female,married,no_degree,urban,white,1,54000
AZ,34,female,unmarried,college_degree,urban,white,1,50000
AZ,29,female,married,college_degree,urban,white,1,40030
AZ,29,male,unmarried,no_degree,urban,white,1,160000
AZ,39,female,married,college_degree,urban,white,1,20000
AZ,46,male,married,no_degree,urban,asian,1,22000
AZ,58,male,married,college_degree,urban,white,1,68000
AZ,43,female,unmarried,college_degree,urban,white,1,71000
AZ,55,male,unmarried,no_degree,urban,white,1,72000
AZ,51,male,married,no_degree,urban,NA,0,13500
AZ,37,male,married,no_degree,urban,white,0,3000
AZ,42,female,married,no_degree,rural,white,1,32000
AZ,52,male,married,no_degree,urban,white,1,125000
AZ,65,male,married,college_degree,urban,white,1,62009.99999999999
AZ,52,female,married,college_degree,urban,white,1,225000
AZ,25,male,married,college_degree,urban,NA,1,22000
AZ,64,female,married,no_degree,urban,white,1,16500
AZ,58,female,unmarried,college_degree,urban,white,1,61000
AZ,63,male,unmarried,no_degree,urban,white,1,20000
AZ,34,male,married,no_degree,urban,white,0,37000
AZ,37,female,married,college_degree,urban,NA,1,44000
AZ,52,male,unmarried,no_degree,urban,NA,1,20000
AZ,63,female,married,no_degree,rural,indigenous,1,61000
AZ,45,male,unmarried,no_degree,urban,NA,1,194000
AZ,27,male,unmarried,no_degree,urban,white,0,3000
AZ,58,female,unmarried,no_degree,urban,NA,1,32000
AZ,56,male,married,no_degree,urban,white,0,24000
AZ,25,male,unmarried,college_degree,urban,white,1,92040
AZ,62,female,unmarried,no_degree,urban,white,1,104000
AZ,55,female,married,no_degree,urban,white,1,33200
AZ,58,female,unmarried,no_degree,urban,white,1,3000
AZ,54,male,married,no_degree,rural,white,1,86000
AZ,51,female,unmarried,college_degree,rural,indigenous,1,29100
AZ,47,female,married,no_degree,urban,white,1,5000
AZ,47,female,unmarried,no_degree,urban,white,1,25000
AZ,57,male,married,college_degree,urban,white,1,180000
AZ,27,female,unmarried,no_degree,urban,white,1,51000
AZ,41,male,unmarried,college_degree,urban,white,1,22100
AZ,47,female,married,no_degree,urban,white,1,30900
AZ,61,male,married,college_degree,urban,white,1,140000
AZ,56,female,unmarried,no_degree,urban,white,1,30000
AZ,55,male,unmarried,no_degree,urban,white,1,134600
AZ,24,female,unmarried,college_degree,urban,white,1,8900
AZ,52,female,unmarried,no_degree,urban,white,1,68000
